chain_id,chain_family,chain_number,display_name,standard,pitch_in,pitch_mm,strands,status,provenance,needs_review,description,application_tags,materials_available,options_upgrades,roller_dia_in,roller_dia_mm,inner_width_in,inner_width_mm,pin_dia_in,pin_dia_mm,plate_height_in,plate_height_mm,weight_lbs_ft,weight_kg_m,extra_dims_json,tensile_lbs,tensile_kn,working_load_lbs,working_load_kn,temp_min_c,temp_max_c,lubrication,perf_source,pn_tsubaki,pn_donghua,pn_canam,pn_macchain,pn_rexnord,pn_linkbelt,pn_renold,pn_jeffrey,pn_webster,image_url,drawing_url,uniking_notes
AG-S42,Agricultural Conveyor Chains,S42,S42 Steel Agricultural Chain (S-type),DIN 8189 / ISO 487,1.375,34.93,1,Active,catalog-verified,FALSE,"S42 S-type steel agricultural roller chain, 34.93 mm pitch, 26.7 kN minimum tensile. Waisted side-plate design (lighter while retaining strength) for farm machinery — seed drills, harvesters, grain elevators and conveyors. Available zinc-plated and with K1/A1 attachments. Manufactured to DIN 8189 / ISO 487.","agricultural chain, S-type steel chain, farm machinery, harvester, seed drill, grain elevator, conveyor, DIN 8189, ISO 487, waisted side plate",45Mn Steel (heat treated); Zinc-plated option,zinc-plated for weather resistance|K1/A1/A2/K2 attachments|scraper-bar attachments|rubber-plate attachments|R high-tensile variant|H heat-treated variant|solid or hollow pin,0.562,14.27,0.75,19.05,0.276,7.01,0.78,19.8,1.075,1.6,"{""pin_length_mm"": 34.3, ""Lc_mm"": 37.0}",6000,26.7,,,-20,150,Standard; zinc-plated option for outdoor/weather exposure,"Donghua Chain Group catalog p.490 (official en.dhchain.com PDF), cross-checked vs DIN 8189 reference",,S42,,,,,,,,,,"PKG-02e (Donghua). Catalog-verified from Donghua p.490, cross-checked against the DIN 8189/ISO 487 standard reference table (pitch+tensile matched exactly). S-type = waisted-side-plate agricultural chain. Donghua catalog p.490 also lists many F-suffix and K/A attachment variants (deferred as proprietary). Dedupe vs any existing S-series; CA-type (straight-plate) agricultural chains are a separate family/slice."
AG-S45,Agricultural Conveyor Chains,S45,S45 Steel Agricultural Chain (S-type),DIN 8189 / ISO 487,1.63,41.4,1,Active,catalog-verified,FALSE,"S45 S-type steel agricultural roller chain, 41.4 mm pitch, 17.8 kN minimum tensile. Waisted side-plate design (lighter while retaining strength) for farm machinery — seed drills, harvesters, grain elevators and conveyors. Available zinc-plated and with K1/A1 attachments. Manufactured to DIN 8189 / ISO 487.","agricultural chain, S-type steel chain, farm machinery, harvester, seed drill, grain elevator, conveyor, DIN 8189, ISO 487, waisted side plate",45Mn Steel (heat treated); Zinc-plated option,zinc-plated for weather resistance|K1/A1/A2/K2 attachments|scraper-bar attachments|rubber-plate attachments|R high-tensile variant|H heat-treated variant|solid or hollow pin,0.6,15.24,0.875,22.23,0.226,5.74,0.681,17.3,0.981,1.46,"{""pin_length_mm"": 37.7, ""Lc_mm"": 40.4}",4000,17.8,,,-20,150,Standard; zinc-plated option for outdoor/weather exposure,"Donghua Chain Group catalog p.490 (official en.dhchain.com PDF), cross-checked vs DIN 8189 reference",,S45,,,,,,,,,,"PKG-02e (Donghua). Catalog-verified from Donghua p.490, cross-checked against the DIN 8189/ISO 487 standard reference table (pitch+tensile matched exactly). S-type = waisted-side-plate agricultural chain. Donghua catalog p.490 also lists many F-suffix and K/A attachment variants (deferred as proprietary). Dedupe vs any existing S-series; CA-type (straight-plate) agricultural chains are a separate family/slice."
AG-S51,Agricultural Conveyor Chains,S51,S51 Steel Agricultural Chain (S-type),DIN 8189 / ISO 487,1.5,38.1,1,Active,catalog-verified,FALSE,"S51 S-type steel agricultural roller chain, 38.1 mm pitch, 36.1 kN minimum tensile. Waisted side-plate design (lighter while retaining strength) for farm machinery — seed drills, harvesters, grain elevators and conveyors. Available zinc-plated and with K1/A1 attachments. Manufactured to DIN 8189 / ISO 487.","agricultural chain, S-type steel chain, farm machinery, harvester, seed drill, grain elevator, conveyor, DIN 8189, ISO 487, waisted side plate",45Mn Steel (heat treated); Zinc-plated option,zinc-plated for weather resistance|K1/A1/A2/K2 attachments|scraper-bar attachments|rubber-plate attachments|R high-tensile variant|H heat-treated variant|solid or hollow pin,0.6,15.24,0.63,16.0,0.226,5.74,0.681,17.3,0.739,1.1,"{""pin_length_mm"": 30.0, ""Lc_mm"": 35.0}",8120,36.1,,,-20,150,Standard; zinc-plated option for outdoor/weather exposure,"Donghua Chain Group catalog p.490 (official en.dhchain.com PDF), cross-checked vs DIN 8189 reference",,S51,,,,,,,,,,"PKG-02e (Donghua). Catalog-verified from Donghua p.490, cross-checked against the DIN 8189/ISO 487 standard reference table (pitch+tensile matched exactly). S-type = waisted-side-plate agricultural chain. Donghua catalog p.490 also lists many F-suffix and K/A attachment variants (deferred as proprietary). Dedupe vs any existing S-series; CA-type (straight-plate) agricultural chains are a separate family/slice."
AG-S52,Agricultural Conveyor Chains,S52,S52 Steel Agricultural Chain (S-type),DIN 8189 / ISO 487,1.5,38.1,1,Active,catalog-verified,FALSE,"S52 S-type steel agricultural roller chain, 38.1 mm pitch, 17.8 kN minimum tensile. Waisted side-plate design (lighter while retaining strength) for farm machinery — seed drills, harvesters, grain elevators and conveyors. Available zinc-plated and with K1/A1 attachments. Manufactured to DIN 8189 / ISO 487.","agricultural chain, S-type steel chain, farm machinery, harvester, seed drill, grain elevator, conveyor, DIN 8189, ISO 487, waisted side plate",45Mn Steel (heat treated); Zinc-plated option,zinc-plated for weather resistance|K1/A1/A2/K2 attachments|scraper-bar attachments|rubber-plate attachments|R high-tensile variant|H heat-treated variant|solid or hollow pin,0.6,15.24,0.875,22.23,0.226,5.74,0.681,17.3,1.129,1.68,"{""pin_length_mm"": 37.7, ""Lc_mm"": 40.4}",4000,17.8,,,-20,150,Standard; zinc-plated option for outdoor/weather exposure,"Donghua Chain Group catalog p.490 (official en.dhchain.com PDF), cross-checked vs DIN 8189 reference",,S52,,,,,,,,,,"PKG-02e (Donghua). Catalog-verified from Donghua p.490, cross-checked against the DIN 8189/ISO 487 standard reference table (pitch+tensile matched exactly). S-type = waisted-side-plate agricultural chain. Donghua catalog p.490 also lists many F-suffix and K/A attachment variants (deferred as proprietary). Dedupe vs any existing S-series; CA-type (straight-plate) agricultural chains are a separate family/slice."
AG-S55,Agricultural Conveyor Chains,S55,S55 Steel Agricultural Chain (S-type),DIN 8189 / ISO 487,1.63,41.4,1,Active,catalog-verified,FALSE,"S55 S-type steel agricultural roller chain, 41.4 mm pitch, 17.8 kN minimum tensile. Waisted side-plate design (lighter while retaining strength) for farm machinery — seed drills, harvesters, grain elevators and conveyors. Available zinc-plated and with K1/A1 attachments. Manufactured to DIN 8189 / ISO 487.","agricultural chain, S-type steel chain, farm machinery, harvester, seed drill, grain elevator, conveyor, DIN 8189, ISO 487, waisted side plate",45Mn Steel (heat treated); Zinc-plated option,zinc-plated for weather resistance|K1/A1/A2/K2 attachments|scraper-bar attachments|rubber-plate attachments|R high-tensile variant|H heat-treated variant|solid or hollow pin,0.7,17.78,0.875,22.23,0.226,5.74,0.681,17.3,1.210,1.8,"{""pin_length_mm"": 37.7, ""Lc_mm"": 40.4}",4000,17.8,,,-20,150,Standard; zinc-plated option for outdoor/weather exposure,"Donghua Chain Group catalog p.490 (official en.dhchain.com PDF), cross-checked vs DIN 8189 reference",,S55,,,,,,,,,,"PKG-02e (Donghua). Catalog-verified from Donghua p.490, cross-checked against the DIN 8189/ISO 487 standard reference table (pitch+tensile matched exactly). S-type = waisted-side-plate agricultural chain. Donghua catalog p.490 also lists many F-suffix and K/A attachment variants (deferred as proprietary). Dedupe vs any existing S-series; CA-type (straight-plate) agricultural chains are a separate family/slice."
AG-S55R,Agricultural Conveyor Chains,S55R,S55R Steel Agricultural Chain (S-type),DIN 8189 / ISO 487,1.63,41.4,1,Active,catalog-verified,FALSE,"S55R S-type steel agricultural roller chain, 41.4 mm pitch, 44.5 kN minimum tensile. Waisted side-plate design (lighter while retaining strength) for farm machinery — seed drills, harvesters, grain elevators and conveyors. Available zinc-plated and with K1/A1 attachments. Manufactured to DIN 8189 / ISO 487.","agricultural chain, S-type steel chain, farm machinery, harvester, seed drill, grain elevator, conveyor, DIN 8189, ISO 487, waisted side plate",45Mn Steel (heat treated); Zinc-plated option,zinc-plated for weather resistance|K1/A1/A2/K2 attachments|scraper-bar attachments|rubber-plate attachments|R high-tensile variant|H heat-treated variant|solid or hollow pin,0.7,17.78,0.875,22.23,0.35,8.9,0.882,22.4,1.673,2.49,"{""pin_length_mm"": 41.0, ""Lc_mm"": 44.0}",10000,44.5,,,-20,150,Standard; zinc-plated option for outdoor/weather exposure,"Donghua Chain Group catalog p.490 (official en.dhchain.com PDF), cross-checked vs DIN 8189 reference",,S55R,,,,,,,,,,"PKG-02e (Donghua). Catalog-verified from Donghua p.490, cross-checked against the DIN 8189/ISO 487 standard reference table (pitch+tensile matched exactly). S-type = waisted-side-plate agricultural chain. Donghua catalog p.490 also lists many F-suffix and K/A attachment variants (deferred as proprietary). Dedupe vs any existing S-series; CA-type (straight-plate) agricultural chains are a separate family/slice."
AG-S62,Agricultural Conveyor Chains,S62,S62 Steel Agricultural Chain (S-type),DIN 8189 / ISO 487,1.65,41.91,1,Active,catalog-verified,FALSE,"S62 S-type steel agricultural roller chain, 41.91 mm pitch, 26.7 kN minimum tensile. Waisted side-plate design (lighter while retaining strength) for farm machinery — seed drills, harvesters, grain elevators and conveyors. Available zinc-plated and with K1/A1 attachments. Manufactured to DIN 8189 / ISO 487.","agricultural chain, S-type steel chain, farm machinery, harvester, seed drill, grain elevator, conveyor, DIN 8189, ISO 487, waisted side plate",45Mn Steel (heat treated); Zinc-plated option,zinc-plated for weather resistance|K1/A1/A2/K2 attachments|scraper-bar attachments|rubber-plate attachments|R high-tensile variant|H heat-treated variant|solid or hollow pin,0.75,19.05,1,25.4,0.226,5.74,0.681,17.3,1.257,1.87,"{""pin_length_mm"": 41.0, ""Lc_mm"": 44.0}",6000,26.7,,,-20,150,Standard; zinc-plated option for outdoor/weather exposure,"Donghua Chain Group catalog p.490 (official en.dhchain.com PDF), cross-checked vs DIN 8189 reference",,S62,,,,,,,,,,"PKG-02e (Donghua). Catalog-verified from Donghua p.490, cross-checked against the DIN 8189/ISO 487 standard reference table (pitch+tensile matched exactly). S-type = waisted-side-plate agricultural chain. Donghua catalog p.490 also lists many F-suffix and K/A attachment variants (deferred as proprietary). Dedupe vs any existing S-series; CA-type (straight-plate) agricultural chains are a separate family/slice."
AG-S77,Agricultural Conveyor Chains,S77,S77 Steel Agricultural Chain (S-type),DIN 8189 / ISO 487,2.297,58.34,1,Active,catalog-verified,FALSE,"S77 S-type steel agricultural roller chain, 58.34 mm pitch, 44.5 kN minimum tensile. Waisted side-plate design (lighter while retaining strength) for farm machinery — seed drills, harvesters, grain elevators and conveyors. Available zinc-plated and with K1/A1 attachments. Manufactured to DIN 8189 / ISO 487.","agricultural chain, S-type steel chain, farm machinery, harvester, seed drill, grain elevator, conveyor, DIN 8189, ISO 487, waisted side plate",45Mn Steel (heat treated); Zinc-plated option,zinc-plated for weather resistance|K1/A1/A2/K2 attachments|scraper-bar attachments|rubber-plate attachments|R high-tensile variant|H heat-treated variant|solid or hollow pin,0.719,18.26,0.875,22.23,0.351,8.92,1.031,26.2,1.781,2.65,"{""pin_length_mm"": 43.2, ""Lc_mm"": 46.4}",10000,44.5,,,-20,150,Standard; zinc-plated option for outdoor/weather exposure,"Donghua Chain Group catalog p.490 (official en.dhchain.com PDF), cross-checked vs DIN 8189 reference",,S77,,,,,,,,,,"PKG-02e (Donghua). Catalog-verified from Donghua p.490, cross-checked against the DIN 8189/ISO 487 standard reference table (pitch+tensile matched exactly). S-type = waisted-side-plate agricultural chain. Donghua catalog p.490 also lists many F-suffix and K/A attachment variants (deferred as proprietary). Dedupe vs any existing S-series; CA-type (straight-plate) agricultural chains are a separate family/slice."
AG-S88,Agricultural Conveyor Chains,S88,S88 Steel Agricultural Chain (S-type),DIN 8189 / ISO 487,2.609,66.27,1,Active,catalog-verified,FALSE,"S88 S-type steel agricultural roller chain, 66.27 mm pitch, 44.5 kN minimum tensile. Waisted side-plate design (lighter while retaining strength) for farm machinery — seed drills, harvesters, grain elevators and conveyors. Available zinc-plated and with K1/A1 attachments. Manufactured to DIN 8189 / ISO 487.","agricultural chain, S-type steel chain, farm machinery, harvester, seed drill, grain elevator, conveyor, DIN 8189, ISO 487, waisted side plate",45Mn Steel (heat treated); Zinc-plated option,zinc-plated for weather resistance|K1/A1/A2/K2 attachments|scraper-bar attachments|rubber-plate attachments|R high-tensile variant|H heat-treated variant|solid or hollow pin,0.9,22.86,1.125,28.58,0.351,8.92,1.031,26.2,2.184,3.25,"{""pin_length_mm"": 49.8, ""Lc_mm"": 53.0}",10000,44.5,,,-20,150,Standard; zinc-plated option for outdoor/weather exposure,"Donghua Chain Group catalog p.490 (official en.dhchain.com PDF), cross-checked vs DIN 8189 reference",,S88,,,,,,,,,,"PKG-02e (Donghua). Catalog-verified from Donghua p.490, cross-checked against the DIN 8189/ISO 487 standard reference table (pitch+tensile matched exactly). S-type = waisted-side-plate agricultural chain. Donghua catalog p.490 also lists many F-suffix and K/A attachment variants (deferred as proprietary). Dedupe vs any existing S-series; CA-type (straight-plate) agricultural chains are a separate family/slice."
LF-LL0622,Leaf Chains,LL0622,"LL0622 Leaf Chain (LL-series, 2x2 lacing)",ISO 4347 / DIN 8152,0.375,9.525,1,Active,catalog-verified,FALSE,"LL0622 LL-series leaf (plate) chain, 9.525 mm pitch, 2x2 plate lacing, 9.0 kN minimum tensile (11.6 kN average). DIN/ISO European leaf chain for vertical lifting and horizontal traction — forklift masts, balance/counterweight, climbing platforms and drilling rigs. Companion to the LH (BL) and AL leaf series.","leaf chain, LL series, plate chain, lift chain, forklift, mast, balance, vertical lifting, horizontal traction, DIN 8152, ISO 4347",High-strength heat-treated steel; corrosion-resistant surface options,LH (BL) and AL series companions|connecting rings / end joints|double-hole connecting pin|special connectors|corrosion-resistant surface treatment|anti-fatigue high-reliability grade,,,,,0.129,3.28,0.323,8.2,,,"{""plate_lacing"": ""2x2"", ""plate_thickness_mm"": 1.04, ""avg_tensile_kn"": 11.6}",2020,9.0,,,-20,150,Standard; corrosion-resistant surface treatment optional,Donghua Chain Group catalog pp.441-442 (official en.dhchain.com PDF),,LL0622,,,,,,,,,,"PKG-02f (Donghua). Catalog-verified LL-series leaf chain, Donghua catalog pp.441-442. LL = DIN 8152/ISO 4347 European leaf chain, the metric sibling of LH(BL) and AL. tensile_kn = min Q; avg Q0 in extra_dims. Plate height/thickness/pin are the per-pitch base geometry shared across lacings of size 06; inner width n/a for leaf chains (link-plate stacks, no rollers/bushes). 02f complements the 02b leaf equivalents (AL/BL->Donghua LH). Dedupe vs existing LF-* leaf records; cross-link LL<->BL by pitch where applicable."
LF-LL0644,Leaf Chains,LL0644,"LL0644 Leaf Chain (LL-series, 4x4 lacing)",ISO 4347 / DIN 8152,0.375,9.525,1,Active,catalog-verified,FALSE,"LL0644 LL-series leaf (plate) chain, 9.525 mm pitch, 4x4 plate lacing, 18.0 kN minimum tensile (23.0 kN average). DIN/ISO European leaf chain for vertical lifting and horizontal traction — forklift masts, balance/counterweight, climbing platforms and drilling rigs. Companion to the LH (BL) and AL leaf series.","leaf chain, LL series, plate chain, lift chain, forklift, mast, balance, vertical lifting, horizontal traction, DIN 8152, ISO 4347",High-strength heat-treated steel; corrosion-resistant surface options,LH (BL) and AL series companions|connecting rings / end joints|double-hole connecting pin|special connectors|corrosion-resistant surface treatment|anti-fatigue high-reliability grade,,,,,0.129,3.28,0.323,8.2,,,"{""plate_lacing"": ""4x4"", ""plate_thickness_mm"": 1.04, ""avg_tensile_kn"": 23.0}",4050,18.0,,,-20,150,Standard; corrosion-resistant surface treatment optional,Donghua Chain Group catalog pp.441-442 (official en.dhchain.com PDF),,LL0644,,,,,,,,,,"PKG-02f (Donghua). Catalog-verified LL-series leaf chain, Donghua catalog pp.441-442. LL = DIN 8152/ISO 4347 European leaf chain, the metric sibling of LH(BL) and AL. tensile_kn = min Q; avg Q0 in extra_dims. Plate height/thickness/pin are the per-pitch base geometry shared across lacings of size 06; inner width n/a for leaf chains (link-plate stacks, no rollers/bushes). 02f complements the 02b leaf equivalents (AL/BL->Donghua LH). Dedupe vs existing LF-* leaf records; cross-link LL<->BL by pitch where applicable."
LF-LL0666,Leaf Chains,LL0666,"LL0666 Leaf Chain (LL-series, 6x6 lacing)",ISO 4347 / DIN 8152,0.375,9.525,1,Active,catalog-verified,FALSE,"LL0666 LL-series leaf (plate) chain, 9.525 mm pitch, 6x6 plate lacing, 24.9 kN minimum tensile (33.2 kN average). DIN/ISO European leaf chain for vertical lifting and horizontal traction — forklift masts, balance/counterweight, climbing platforms and drilling rigs. Companion to the LH (BL) and AL leaf series.","leaf chain, LL series, plate chain, lift chain, forklift, mast, balance, vertical lifting, horizontal traction, DIN 8152, ISO 4347",High-strength heat-treated steel; corrosion-resistant surface options,LH (BL) and AL series companions|connecting rings / end joints|double-hole connecting pin|special connectors|corrosion-resistant surface treatment|anti-fatigue high-reliability grade,,,,,0.129,3.28,0.323,8.2,,,"{""plate_lacing"": ""6x6"", ""plate_thickness_mm"": 1.04, ""avg_tensile_kn"": 33.2}",5600,24.9,,,-20,150,Standard; corrosion-resistant surface treatment optional,Donghua Chain Group catalog pp.441-442 (official en.dhchain.com PDF),,LL0666,,,,,,,,,,"PKG-02f (Donghua). Catalog-verified LL-series leaf chain, Donghua catalog pp.441-442. LL = DIN 8152/ISO 4347 European leaf chain, the metric sibling of LH(BL) and AL. tensile_kn = min Q; avg Q0 in extra_dims. Plate height/thickness/pin are the per-pitch base geometry shared across lacings of size 06; inner width n/a for leaf chains (link-plate stacks, no rollers/bushes). 02f complements the 02b leaf equivalents (AL/BL->Donghua LH). Dedupe vs existing LF-* leaf records; cross-link LL<->BL by pitch where applicable."
LF-LL0822,Leaf Chains,LL0822,"LL0822 Leaf Chain (LL-series, 2x2 lacing)",ISO 4347 / DIN 8152,0.5,12.7,1,Active,catalog-verified,FALSE,"LL0822 LL-series leaf (plate) chain, 12.7 mm pitch, 2x2 plate lacing, 18.2 kN minimum tensile (25.5 kN average). DIN/ISO European leaf chain for vertical lifting and horizontal traction — forklift masts, balance/counterweight, climbing platforms and drilling rigs. Companion to the LH (BL) and AL leaf series.","leaf chain, LL series, plate chain, lift chain, forklift, mast, balance, vertical lifting, horizontal traction, DIN 8152, ISO 4347",High-strength heat-treated steel; corrosion-resistant surface options,LH (BL) and AL series companions|connecting rings / end joints|double-hole connecting pin|special connectors|corrosion-resistant surface treatment|anti-fatigue high-reliability grade,,,,,0.175,4.45,0.433,11.0,,,"{""plate_lacing"": ""2x2"", ""plate_thickness_mm"": 1.5, ""avg_tensile_kn"": 25.5}",4090,18.2,,,-20,150,Standard; corrosion-resistant surface treatment optional,Donghua Chain Group catalog pp.441-442 (official en.dhchain.com PDF),,LL0822,,,,,,,,,,"PKG-02f (Donghua). Catalog-verified LL-series leaf chain, Donghua catalog pp.441-442. LL = DIN 8152/ISO 4347 European leaf chain, the metric sibling of LH(BL) and AL. tensile_kn = min Q; avg Q0 in extra_dims. Plate height/thickness/pin are the per-pitch base geometry shared across lacings of size 08; inner width n/a for leaf chains (link-plate stacks, no rollers/bushes). 02f complements the 02b leaf equivalents (AL/BL->Donghua LH). Dedupe vs existing LF-* leaf records; cross-link LL<->BL by pitch where applicable."
LF-LL0844,Leaf Chains,LL0844,"LL0844 Leaf Chain (LL-series, 4x4 lacing)",ISO 4347 / DIN 8152,0.5,12.7,1,Active,catalog-verified,FALSE,"LL0844 LL-series leaf (plate) chain, 12.7 mm pitch, 4x4 plate lacing, 36.4 kN minimum tensile (51.0 kN average). DIN/ISO European leaf chain for vertical lifting and horizontal traction — forklift masts, balance/counterweight, climbing platforms and drilling rigs. Companion to the LH (BL) and AL leaf series.","leaf chain, LL series, plate chain, lift chain, forklift, mast, balance, vertical lifting, horizontal traction, DIN 8152, ISO 4347",High-strength heat-treated steel; corrosion-resistant surface options,LH (BL) and AL series companions|connecting rings / end joints|double-hole connecting pin|special connectors|corrosion-resistant surface treatment|anti-fatigue high-reliability grade,,,,,0.175,4.45,0.433,11.0,,,"{""plate_lacing"": ""4x4"", ""plate_thickness_mm"": 1.5, ""avg_tensile_kn"": 51.0}",8180,36.4,,,-20,150,Standard; corrosion-resistant surface treatment optional,Donghua Chain Group catalog pp.441-442 (official en.dhchain.com PDF),,LL0844,,,,,,,,,,"PKG-02f (Donghua). Catalog-verified LL-series leaf chain, Donghua catalog pp.441-442. LL = DIN 8152/ISO 4347 European leaf chain, the metric sibling of LH(BL) and AL. tensile_kn = min Q; avg Q0 in extra_dims. Plate height/thickness/pin are the per-pitch base geometry shared across lacings of size 08; inner width n/a for leaf chains (link-plate stacks, no rollers/bushes). 02f complements the 02b leaf equivalents (AL/BL->Donghua LH). Dedupe vs existing LF-* leaf records; cross-link LL<->BL by pitch where applicable."
LF-LL0866,Leaf Chains,LL0866,"LL0866 Leaf Chain (LL-series, 6x6 lacing)",ISO 4347 / DIN 8152,0.5,12.7,1,Active,catalog-verified,FALSE,"LL0866 LL-series leaf (plate) chain, 12.7 mm pitch, 6x6 plate lacing, 54.6 kN minimum tensile (76.3 kN average). DIN/ISO European leaf chain for vertical lifting and horizontal traction — forklift masts, balance/counterweight, climbing platforms and drilling rigs. Companion to the LH (BL) and AL leaf series.","leaf chain, LL series, plate chain, lift chain, forklift, mast, balance, vertical lifting, horizontal traction, DIN 8152, ISO 4347",High-strength heat-treated steel; corrosion-resistant surface options,LH (BL) and AL series companions|connecting rings / end joints|double-hole connecting pin|special connectors|corrosion-resistant surface treatment|anti-fatigue high-reliability grade,,,,,0.175,4.45,0.433,11.0,,,"{""plate_lacing"": ""6x6"", ""plate_thickness_mm"": 1.5, ""avg_tensile_kn"": 76.3}",12270,54.6,,,-20,150,Standard; corrosion-resistant surface treatment optional,Donghua Chain Group catalog pp.441-442 (official en.dhchain.com PDF),,LL0866,,,,,,,,,,"PKG-02f (Donghua). Catalog-verified LL-series leaf chain, Donghua catalog pp.441-442. LL = DIN 8152/ISO 4347 European leaf chain, the metric sibling of LH(BL) and AL. tensile_kn = min Q; avg Q0 in extra_dims. Plate height/thickness/pin are the per-pitch base geometry shared across lacings of size 08; inner width n/a for leaf chains (link-plate stacks, no rollers/bushes). 02f complements the 02b leaf equivalents (AL/BL->Donghua LH). Dedupe vs existing LF-* leaf records; cross-link LL<->BL by pitch where applicable."
LF-LL0888,Leaf Chains,LL0888,"LL0888 Leaf Chain (LL-series, 8x8 lacing)",ISO 4347 / DIN 8152,0.5,12.7,1,Active,catalog-verified,FALSE,"LL0888 LL-series leaf (plate) chain, 12.7 mm pitch, 8x8 plate lacing, 72.8 kN minimum tensile (101.9 kN average). DIN/ISO European leaf chain for vertical lifting and horizontal traction — forklift masts, balance/counterweight, climbing platforms and drilling rigs. Companion to the LH (BL) and AL leaf series.","leaf chain, LL series, plate chain, lift chain, forklift, mast, balance, vertical lifting, horizontal traction, DIN 8152, ISO 4347",High-strength heat-treated steel; corrosion-resistant surface options,LH (BL) and AL series companions|connecting rings / end joints|double-hole connecting pin|special connectors|corrosion-resistant surface treatment|anti-fatigue high-reliability grade,,,,,0.175,4.45,0.433,11.0,,,"{""plate_lacing"": ""8x8"", ""plate_thickness_mm"": 1.5, ""avg_tensile_kn"": 101.9}",16370,72.8,,,-20,150,Standard; corrosion-resistant surface treatment optional,Donghua Chain Group catalog pp.441-442 (official en.dhchain.com PDF),,LL0888,,,,,,,,,,"PKG-02f (Donghua). Catalog-verified LL-series leaf chain, Donghua catalog pp.441-442. LL = DIN 8152/ISO 4347 European leaf chain, the metric sibling of LH(BL) and AL. tensile_kn = min Q; avg Q0 in extra_dims. Plate height/thickness/pin are the per-pitch base geometry shared across lacings of size 08; inner width n/a for leaf chains (link-plate stacks, no rollers/bushes). 02f complements the 02b leaf equivalents (AL/BL->Donghua LH). Dedupe vs existing LF-* leaf records; cross-link LL<->BL by pitch where applicable."
LF-LL1022,Leaf Chains,LL1022,"LL1022 Leaf Chain (LL-series, 2x2 lacing)",ISO 4347 / DIN 8152,0.625,15.875,1,Active,catalog-verified,FALSE,"LL1022 LL-series leaf (plate) chain, 15.875 mm pitch, 2x2 plate lacing, 22.7 kN minimum tensile (33.2 kN average). DIN/ISO European leaf chain for vertical lifting and horizontal traction — forklift masts, balance/counterweight, climbing platforms and drilling rigs. Companion to the LH (BL) and AL leaf series.","leaf chain, LL series, plate chain, lift chain, forklift, mast, balance, vertical lifting, horizontal traction, DIN 8152, ISO 4347",High-strength heat-treated steel; corrosion-resistant surface options,LH (BL) and AL series companions|connecting rings / end joints|double-hole connecting pin|special connectors|corrosion-resistant surface treatment|anti-fatigue high-reliability grade,,,,,0.2,5.08,0.539,13.7,,,"{""plate_lacing"": ""2x2"", ""plate_thickness_mm"": 1.5, ""avg_tensile_kn"": 33.2}",5100,22.7,,,-20,150,Standard; corrosion-resistant surface treatment optional,Donghua Chain Group catalog pp.441-442 (official en.dhchain.com PDF),,LL1022,,,,,,,,,,"PKG-02f (Donghua). Catalog-verified LL-series leaf chain, Donghua catalog pp.441-442. LL = DIN 8152/ISO 4347 European leaf chain, the metric sibling of LH(BL) and AL. tensile_kn = min Q; avg Q0 in extra_dims. Plate height/thickness/pin are the per-pitch base geometry shared across lacings of size 10; inner width n/a for leaf chains (link-plate stacks, no rollers/bushes). 02f complements the 02b leaf equivalents (AL/BL->Donghua LH). Dedupe vs existing LF-* leaf records; cross-link LL<->BL by pitch where applicable."
LF-LL1044,Leaf Chains,LL1044,"LL1044 Leaf Chain (LL-series, 4x4 lacing)",ISO 4347 / DIN 8152,0.625,15.875,1,Active,catalog-verified,FALSE,"LL1044 LL-series leaf (plate) chain, 15.875 mm pitch, 4x4 plate lacing, 45.4 kN minimum tensile (66.4 kN average). DIN/ISO European leaf chain for vertical lifting and horizontal traction — forklift masts, balance/counterweight, climbing platforms and drilling rigs. Companion to the LH (BL) and AL leaf series.","leaf chain, LL series, plate chain, lift chain, forklift, mast, balance, vertical lifting, horizontal traction, DIN 8152, ISO 4347",High-strength heat-treated steel; corrosion-resistant surface options,LH (BL) and AL series companions|connecting rings / end joints|double-hole connecting pin|special connectors|corrosion-resistant surface treatment|anti-fatigue high-reliability grade,,,,,0.2,5.08,0.539,13.7,,,"{""plate_lacing"": ""4x4"", ""plate_thickness_mm"": 1.5, ""avg_tensile_kn"": 66.4}",10210,45.4,,,-20,150,Standard; corrosion-resistant surface treatment optional,Donghua Chain Group catalog pp.441-442 (official en.dhchain.com PDF),,LL1044,,,,,,,,,,"PKG-02f (Donghua). Catalog-verified LL-series leaf chain, Donghua catalog pp.441-442. LL = DIN 8152/ISO 4347 European leaf chain, the metric sibling of LH(BL) and AL. tensile_kn = min Q; avg Q0 in extra_dims. Plate height/thickness/pin are the per-pitch base geometry shared across lacings of size 10; inner width n/a for leaf chains (link-plate stacks, no rollers/bushes). 02f complements the 02b leaf equivalents (AL/BL->Donghua LH). Dedupe vs existing LF-* leaf records; cross-link LL<->BL by pitch where applicable."
