chain_id,brand,brand_part_number,brand_series,equivalency_type,confidence
REX-REXC111,Rexnord,RexC111,,Direct,High
REX-REXC133,Rexnord,RexC133,,Direct,High
REX-REXC110,Rexnord,RexC110,,Direct,High
REX-REXC132,Rexnord,RexC132,,Direct,High
RENOLD-S45161,Renold,S45161,,Direct,High
RENOLD-S45241,Renold,S45241,,Direct,High
RENOLD-S45162,Renold,S45162,,Direct,High
RENOLD-S45242,Renold,S45242,,Direct,High
RENOLD-S45243,Renold,S45243,,Direct,High
RENOLD-E45161,Renold,E45161,,Direct,High
RENOLD-E45241,Renold,E45241,,Direct,High
RENOLD-E45162,Renold,E45162,,Direct,High
RENOLD-E45242,Renold,E45242,,Direct,High
RENOLD-X62161,Renold,X62161,,Direct,High
RENOLD-X62241,Renold,X62241,,Direct,High
RENOLD-X62162,Renold,X62162,,Direct,High
RENOLD-X62242,Renold,X62242,,Direct,High
RENOLD-S05161,Renold,S05161,,Direct,High
RENOLD-S05162,Renold,S05162,,Direct,High
RENOLD-S05242,Renold,S05242,,Direct,High
RENOLD-S05243,Renold,S05243,,Direct,High
RENOLD-E05161,Renold,E05161,,Direct,High
RENOLD-E05162,Renold,E05162,,Direct,High
RENOLD-E05242,Renold,E05242,,Direct,High
RENOLD-X02242,Renold,X02242,,Direct,High
RENOLD-RENOLD-81X,Renold,Renold 81X,,Direct,High
RENOLD-R-9060,Renold,R.9060,,Direct,High
RENOLD-R-9061,Renold,R.9061,,Direct,High
RENOLD-R-1796,Renold,R.1796,,Direct,High
RENOLD-R-9063,Renold,R.9063,,Direct,High
RENOLD-171123,Renold,171123,,Direct,High
RENOLD-171360,Renold,171360,,Direct,High
RENOLD-171649,Renold,171649,,Direct,High
RENOLD-176499,Renold,176499,,Direct,High
RENOLD-178388,Renold,178388,,Direct,High
RENOLD-179362,Renold,179362,,Direct,High
RENOLD-171749,Renold,171749,,Direct,High
RENOLD-179840,Renold,179840,,Direct,High
RENOLD-176493,Renold,176493,,Direct,High
RENOLD-795034,Renold,795034,,Direct,High
RENOLD-171044,Renold,171044,,Direct,High
RENOLD-171260-90,Renold,171260/90,,Direct,High
RENOLD-588506,Renold,588506,,Direct,High
RENOLD-199232-90,Renold,199232/90,,Direct,High
RENOLD-179701-90,Renold,179701/90,,Direct,High
RENOLD-171320-90,Renold,171320/90,,Direct,High
RENOLD-6956-PB,Renold,6956-PB,,Direct,High
RENOLD-6867-R,Renold,6867-R,,Direct,High
RENOLD-6866-R,Renold,6866-R,,Direct,High
RENOLD-6869-R,Renold,6869-R,,Direct,High
RENOLD-6969-R,Renold,6969-R,,Direct,High
RENOLD-6864-R,Renold,6864-R,,Direct,High
RENOLD-6684,Renold,6684,,Direct,High
RENOLD-6875-R,Renold,6875-R,,Direct,High
RENOLD-6874,Renold,6874,,Direct,High
RENOLD-3252-PR,Renold,3252-PR,,Direct,High
RENOLD-4035-PB,Renold,4035-PB,,Direct,High
RENOLD-4065-RJ,Renold,4065-RJ,,Direct,High
RENOLD-4037-PB,Renold,4037-PB,,Direct,High
RENOLD-6859-R,Renold,6859-R,,Direct,High
RENOLD-6881-AR,Renold,6881-AR,,Direct,High
RENOLD-6889-PB,Renold,6889-PB,,Direct,High
RENOLD-WS5157-H,Renold,WS5157-H,,Direct,High
RENOLD-WS6067-HHF,Renold,WS6067-HHF,,Direct,High
RENOLD-WS6267-HHF,Renold,WS6267-HHF,,Direct,High
RENOLD-WS5121-HHF,Renold,WS5121-HHF,,Direct,High
RENOLD-WS5221-HHF,Renold,WS5221-HHF,,Direct,High
RENOLD-WS6121-HHF,Renold,WS6121-HHF,,Direct,High
RENOLD-WS6221-HHF,Renold,WS6221-HHF,,Direct,High
RENOLD-WS78,Renold,WS78,,Direct,High
RENOLD-WS78,MAC Chain,WS78,,Direct,High
RENOLD-WS78P,Renold,WS78P,,Direct,High
RENOLD-WS82,Renold,WS82,,Direct,High
RENOLD-WS82P,Renold,WS82P,,Direct,High
RENOLD-WS82H,Renold,WS82H,,Direct,High
RENOLD-WS82HP,Renold,WS82HP,,Direct,High
RENOLD-WS784,Renold,WS784,,Direct,High
RENOLD-WS784P,Renold,WS784P,,Direct,High
RENOLD-WS124,Renold,WS124,,Direct,High
RENOLD-WS124P,Renold,WS124P,,Direct,High
RENOLD-WS124HD,Renold,WS124HD,,Direct,High
RENOLD-WS124HDP,Renold,WS124HDP,,Direct,High
RENOLD-WS111,Renold,WS111,,Direct,High
RENOLD-WS111P,Renold,WS111P,,Direct,High
RENOLD-WS106,Renold,WS106,,Direct,High
RENOLD-WS106P,Renold,WS106P,,Direct,High
RENOLD-WS110,Renold,WS110,,Direct,High
RENOLD-WS110P,Renold,WS110P,,Direct,High
RENOLD-WS132,Renold,WS132,,Direct,High
RENOLD-WS132P,Renold,WS132P,,Direct,High
RENOLD-WS150,Renold,WS150,,Direct,High
RENOLD-WS150P,Renold,WS150P,,Direct,High
RENOLD-WS855PB,Renold,WS855PB,,Direct,High
RENOLD-WS855HDP,Renold,WS855HDP,,Direct,High
RENOLD-WS859PB,Renold,WS859PB,,Direct,High
RENOLD-WSD102,Renold,WSD102,,Direct,High
RENOLD-WSD102P,Renold,WSD102P,,Direct,High
RENOLD-WSD104,Renold,WSD104,,Direct,High
RENOLD-WSD104P,Renold,WSD104P,,Direct,High
RENOLD-WSD110,Renold,WSD110,,Direct,High
RENOLD-WSD110P,Renold,WSD110P,,Direct,High
RENOLD-WSD120,Renold,WSD120,,Direct,High
RENOLD-WSD120P,Renold,WSD120P,,Direct,High
RENOLD-WSD112,Renold,WSD112,,Direct,High
RENOLD-WSD112P,Renold,WSD112P,,Direct,High
RENOLD-WSD116,Renold,WSD116,,Direct,High
RENOLD-WSD116P,Renold,WSD116P,,Direct,High
RENOLD-WSD122,Renold,WSD122,,Direct,High
RENOLD-WSD122P,Renold,WSD122P,,Direct,High
RENOLD-WSD480,Renold,WSD480,,Direct,High
RENOLD-WSD480P,Renold,WSD480P,,Direct,High
RENOLD-WD480XHDP,Renold,WD480XHDP,,Direct,High
WEBSTER-442,Webster,442,,Direct,High
WEBSTER-445,Webster,445,,Direct,High
WEBSTER-452,Webster,452,,Direct,High
WEBSTER-455,Webster,455,,Direct,High
WEBSTER-462,Webster,462,,Direct,High
WEBSTER-477,Webster,477,,Direct,High
WEBSTER-488,Webster,488,,Direct,High
WEBSTER-4103,Webster,4103,,Direct,High
WEBSTER-4124,Webster,4124,,Direct,High
WEBSTER-720,Webster,720,,Direct,High
WEBSTER-720NCS,Webster,720NCS,,Direct,High
WEBSTER-730,Webster,730,,Direct,High
WEBSTER-730S,Webster,730S,,Direct,High
WEBSTER-730NCS,Webster,730NCS,,Direct,High
WEBSTER-WC55,Webster,WC55,,Direct,High
WEBSTER-N77,Webster,N77,,Direct,High
WEBSTER-N102B,Webster,N102B,,Direct,High
WEBSTER-N102H,Webster,N102H,,Direct,High
WEBSTER-N110,Webster,N110,,Direct,High
WEBSTER-N111,Webster,N111,,Direct,High
WEBSTER-N131,Webster,N131,,Direct,High
WEBSTER-N132,Webster,N132,,Direct,High
WEBSTER-WC188,Webster,WC188,,Direct,High
WEBSTER-N111SPC,Webster,N111SPC,,Direct,High
WEBSTER-DW111,Webster,DW111,,Direct,High
WEBSTER-N131WS,Webster,N131WS,,Direct,High
WEBSTER-DW132,Webster,DW132,,Direct,High
WEBSTER-N132WS,Webster,N132WS,,Direct,High
WEBSTER-C188WS,Webster,C188WS,,Direct,High
WEBSTER-CRN110,Webster,CRN110,,Direct,High
WEBSTER-CRN111,Webster,CRN111,,Direct,High
WEBSTER-CRN131,Webster,CRN131,,Direct,High
WEBSTER-CRN132,Webster,CRN132,,Direct,High
WEBSTER-CR188,Webster,CR188,,Direct,High
WEBSTER-HSB188,Webster,HSB188,,Direct,High
WEBSTER-HSB1663,Webster,HSB1663,,Direct,High
WEBSTER-HSB131,Webster,HSB131,,Direct,High
WEBSTER-HSB102B,Webster,HSB102B,,Direct,High
WEBSTER-HSB825,Webster,HSB825,,Direct,High
WEBSTER-HSB102H,Webster,HSB102H,,Direct,High
WEBSTER-HSB6472,Webster,HSB6472,,Direct,High
WEBSTER-HSB4933,Webster,HSB4933,,Direct,High
WEBSTER-HSB111,Webster,HSB111,,Direct,High
WEBSTER-HSB5131,Webster,HSB5131,,Direct,High
WEBSTER-HSB1316,Webster,HSB1316,,Direct,High
WEBSTER-HSB2730,Webster,HSB2730,,Direct,High
WEBSTER-HSB835,Webster,HSB835,,Direct,High
WEBSTER-HSB110,Webster,HSB110,,Direct,High
WEBSTER-HSB830,Webster,HSB830,,Direct,High
WEBSTER-HSB833,Webster,HSB833,,Direct,High
WEBSTER-HSB844,Webster,HSB844,,Direct,High
WEBSTER-HSB826,Webster,HSB826,,Direct,High
WEBSTER-HSB860B,Webster,HSB860B,,Direct,High
WEBSTER-HSB856B,Webster,HSB856B,,Direct,High
WEBSTER-HSB956,Webster,HSB956,,Direct,High
WEBSTER-HSB857A,Webster,HSB857A,,Direct,High
WEBSTER-HSB2858A,Webster,HSB2858A,,Direct,High
WEBSTER-HSB850,Webster,HSB850,,Direct,High
WEBSTER-HSB859B,Webster,HSB859B,,Direct,High
WEBSTER-HSB1654,Webster,HSB1654,,Direct,High
WEBSTER-HSB851,Webster,HSB851,,Direct,High
WEBSTER-HSB150,Webster,HSB150,,Direct,High
WEBSTER-HSB864B,Webster,HSB864B,,Direct,High
WEBSTER-HSB984,Webster,HSB984,,Direct,High
WEBSTER-HSB2866,Webster,HSB2866,,Direct,High
WEBSTER-HSB886,Webster,HSB886,,Direct,High
WEBSTER-HSB187,Webster,HSB187,,Direct,High
WEBSTER-HSB1856,Webster,HSB1856,,Direct,High
WEBSTER-HSB1219,Webster,HSB1219,,Direct,High
WEBSTER-HSB9124,Webster,HSB9124,,Direct,High
WEBSTER-HSB1956,Webster,HSB1956,,Direct,High
WEBSTER-HSB9150,Webster,HSB9150,,Direct,High
WEBSTER-HSB1903,Webster,HSB1903,,Direct,High
WEBSTER-HSB959,Webster,HSB959,,Direct,High
WEBSTER-HSB964,Webster,HSB964,,Direct,High
WEBSTER-HSB6322,Webster,HSB6322,,Direct,High
WEBSTER-HSB6102H,Webster,HSB6102H,,Direct,High
WEBSTER-HSB6124,Webster,HSB6124,,Direct,High
WEBSTER-HSB852,Webster,HSB852,,Direct,High
WEBSTER-HSB1259,Webster,HSB1259,,Direct,High
WEBSTER-TS856,Webster,TS856,,Direct,High
WEBSTER-TS956,Webster,TS956,,Direct,High
WEBSTER-TS857,Webster,TS857,,Direct,High
WEBSTER-TS859,Webster,TS859,,Direct,High
MAC-WR78XHD,MAC Chain,WR78XHD,,Direct,High
MAC-WR78-4,MAC Chain,WR78-4,,Direct,High
MAC-WR82XHD,MAC Chain,WR82XHD,,Direct,High
MAC-WR124XHD,MAC Chain,WR124XHD,,Direct,High
MAC-WR106XHD,MAC Chain,WR106XHD,,Direct,High
MAC-WR132XHD,MAC Chain,WR132XHD,,Direct,High
MAC-WR150XHD,MAC Chain,WR150XHD,,Direct,High
MAC-WRC131,MAC Chain,WRC131,,Direct,High
MAC-WRC131,Can-Am,WRC131,,Direct,High
MAC-WRC124,MAC Chain,WRC124,,Direct,High
MAC-WRC124,Can-Am,WRC124,,Direct,High
MAC-WRC124XHD,MAC Chain,WRC124XHD,,Direct,High
MAC-WRC124XHD,Can-Am,WRC124XHD,,Direct,High
MAC-WRC111,MAC Chain,WRC111,,Direct,High
MAC-WRC111,Can-Am,WRC111,,Direct,High
MAC-WRC110,MAC Chain,WRC110,,Direct,High
MAC-WRC110,Can-Am,WRC110,,Direct,High
MAC-WRC110XHD,MAC Chain,WRC110XHD,,Direct,High
MAC-WRC110XHD,Can-Am,WRC110XHD,,Direct,High
MAC-WRC132,MAC Chain,WRC132,,Direct,High
MAC-WRC132,Can-Am,WRC132,,Direct,High
MAC-WRC132XHD,MAC Chain,WRC132XHD,,Direct,High
MAC-WRC132XHD,Can-Am,WRC132XHD,,Direct,High
MAC-WRC150,MAC Chain,WRC150,,Direct,High
MAC-WRC150,Can-Am,WRC150,,Direct,High
MAC-WRC150XHD,MAC Chain,WRC150XHD,,Direct,High
MAC-WD118XHD,MAC Chain,WD118XHD,,Direct,High
MAC-WD120,MAC Chain,WD120,,Direct,High
MAC-WD120XHD,MAC Chain,WD120XHD,,Direct,High
MAC-WD122XHD,MAC Chain,WD122XHD,,Direct,High
MAC-WD480XHD,MAC Chain,WD480XHD,,Direct,High
MAC-WD118SM,MAC Chain,WD118SM,,Direct,High
MAC-WD118XHDSM,MAC Chain,WD118XHDSM,,Direct,High
MAC-WD120SM,MAC Chain,WD120SM,,Direct,High
MAC-WD120XHDSM,MAC Chain,WD120XHDSM,,Direct,High
MAC-WD122SM,MAC Chain,WD122SM,,Direct,High
MAC-WD122XHDSM,MAC Chain,WD122XHDSM,,Direct,High
MAC-WD480SM,MAC Chain,WD480SM,,Direct,High
MAC-WD480XHDSM,MAC Chain,WD480XHDSM,,Direct,High
MAC-WD118MM,MAC Chain,WD118MM,,Direct,High
MAC-WD118XHDMM,MAC Chain,WD118XHDMM,,Direct,High
MAC-WD120MM,MAC Chain,WD120MM,,Direct,High
MAC-WD120XHDMM,MAC Chain,WD120XHDMM,,Direct,High
MAC-WD122MM,MAC Chain,WD122MM,,Direct,High
MAC-WD122XHDMM,MAC Chain,WD122XHDMM,,Direct,High
MAC-WD480MM,MAC Chain,WD480MM,,Direct,High
MAC-WD480XHDMM,MAC Chain,WD480XHDMM,,Direct,High
MAC-H60,MAC Chain,H60,,Direct,High
MAC-H74,MAC Chain,H74,,Direct,High
MAC-H78,MAC Chain,H78,,Direct,High
MAC-H82,MAC Chain,H82,,Direct,High
MAC-C55,MAC Chain,C55,,Direct,High
MAC-C77,MAC Chain,C77,,Direct,High
MAC-C188,MAC Chain,C188,,Direct,High
MAC-C131,MAC Chain,C131,,Direct,High
MAC-C102B,MAC Chain,C102B,,Direct,High
MAC-MS188,MAC Chain,MS188,,Direct,High
MAC-MS131,MAC Chain,MS131,,Direct,High
MAC-MS102B,MAC Chain,MS102B,,Direct,High
MAC-MS110,MAC Chain,MS110,,Direct,High
MAC-81X-HD,MAC Chain,81X-HD,,Direct,High
MAC-81X-XHD,MAC Chain,81X-XHD,,Direct,High
MAC-LXS882,MAC Chain,LXS882,,Direct,High
MAC-M3939,MAC Chain,M3939,,Direct,High
MAC-M3939-HD,MAC Chain,M3939-HD,,Direct,High
MAC-M900,MAC Chain,M900,,Direct,High
MAC-M662,MAC Chain,M662,,Direct,High
MAC-M667X,MAC Chain,M667X,,Direct,High
MAC-M667H,MAC Chain,M667H,,Direct,High
MAC-M667KC,MAC Chain,M667KC,,Direct,High
MAC-M667XH,MAC Chain,M667XH,,Direct,High
MAC-M88K,MAC Chain,M88K,,Direct,High
MAC-M88C,MAC Chain,M88C,,Direct,High
MAC-M308C,MAC Chain,M308C,,Direct,High
MAC-M662-A,MAC Chain,M662-A,,Direct,High
MAC-M667X-A,MAC Chain,M667X-A,,Direct,High
MAC-M667H-A,MAC Chain,M667H-A,,Direct,High
MAC-M667K-A,MAC Chain,M667K-A,,Direct,High
MAC-M667KC-A,MAC Chain,M667KC-A,,Direct,High
MAC-M667XH-A,MAC Chain,M667XH-A,,Direct,High
MAC-C77SS,MAC Chain,C77SS,,Direct,High
MAC-LL-7-8X1-5X6,MAC Chain,LL-7/8x1.5x6,,Direct,High
MAC-LL-1X1-75X6,MAC Chain,LL-1x1.75x6,,Direct,High
MAC-LL-1-125X2X6,MAC Chain,LL-1.125x2x6,,Direct,High
MAC-LL-1-25X2X6,MAC Chain,LL-1.25x2x6,,Direct,High
MAC-DF3500,MAC Chain,DF3500,,Direct,High
MAC-WR720S,MAC Chain,WR720S,,Direct,High
MAC-WR730S,MAC Chain,WR730S,,Direct,High
MAC-CA550,MAC Chain,CA550,,Direct,High
MAC-CA620,MAC Chain,CA620,,Direct,High
CANAM-WR-78,Can-Am,WR-78,,Direct,High
CANAM-WH-78,Can-Am,WH-78,,Direct,High
CANAM-WR-78-4,Can-Am,WR-78-4,,Direct,High
CANAM-WR-82,Can-Am,WR-82,,Direct,High
CANAM-WH-82,Can-Am,WH-82,,Direct,High
CANAM-WR-124,Can-Am,WR-124,,Direct,High
CANAM-WH-124,Can-Am,WH-124,,Direct,High
CANAM-WR-111,Can-Am,WR-111,,Direct,High
CANAM-WH-111,Can-Am,WH-111,,Direct,High
CANAM-WR-106,Can-Am,WR-106,,Direct,High
CANAM-WH-106,Can-Am,WH-106,,Direct,High
CANAM-WR-132,Can-Am,WR-132,,Direct,High
CANAM-WH-132,Can-Am,WH-132,,Direct,High
CANAM-WR-150,Can-Am,WR-150,,Direct,High
CANAM-WH-150,Can-Am,WH-150,,Direct,High
CANAM-WR-155,Can-Am,WR-155,,Direct,High
CANAM-WH-155,Can-Am,WH-155,,Direct,High
CANAM-WR-157,Can-Am,WR-157,,Direct,High
CANAM-WH-157,Can-Am,WH-157,,Direct,High
CANAM-WR-159,Can-Am,WR-159,,Direct,High
CANAM-WH-159,Can-Am,WH-159,,Direct,High
CANAM-WR-200,Can-Am,WR-200,,Direct,High
CANAM-WH-200,Can-Am,WH-200,,Direct,High
CANAM-WRC78,Can-Am,WRC78,,Direct,High
CANAM-WHC78,Can-Am,WHC78,,Direct,High
CANAM-WRC82,Can-Am,WRC82,,Direct,High
CANAM-WHC82,Can-Am,WHC82,,Direct,High
CANAM-WHC131,Can-Am,WHC131,,Direct,High
CANAM-WHC124,Can-Am,WHC124,,Direct,High
CANAM-WHC111,Can-Am,WHC111,,Direct,High
CANAM-WHC110,Can-Am,WHC110,,Direct,High
CANAM-WHC132,Can-Am,WHC132,,Direct,High
CANAM-WHC150,Can-Am,WHC150,,Direct,High
CANAM-WRC157,Can-Am,WRC157,,Direct,High
CANAM-WHC157,Can-Am,WHC157,,Direct,High
CANAM-WR-78XHD,Can-Am,WR-78XHD,,Direct,High
CANAM-WH-78XHD,Can-Am,WH-78XHD,,Direct,High
CANAM-WR-82XHD,Can-Am,WR-82XHD,,Direct,High
CANAM-WH-82XHD,Can-Am,WH-82XHD,,Direct,High
CANAM-WR-124XHD,Can-Am,WR-124XHD,,Direct,High
CANAM-WH-124XHD,Can-Am,WH-124XHD,,Direct,High
CANAM-WR-106XHD,Can-Am,WR-106XHD,,Direct,High
CANAM-WH-106XHD,Can-Am,WH-106XHD,,Direct,High
CANAM-WR-132XHD,Can-Am,WR-132XHD,,Direct,High
CANAM-WH-132XHD,Can-Am,WH-132XHD,,Direct,High
CANAM-WRC82XHD,Can-Am,WRC82XHD,,Direct,High
CANAM-WHC82XHD,Can-Am,WHC82XHD,,Direct,High
CANAM-WHC124XHD,Can-Am,WHC124XHD,,Direct,High
CANAM-WHC110XHD,Can-Am,WHC110XHD,,Direct,High
CANAM-WHC132XHD,Can-Am,WHC132XHD,,Direct,High
CANAM-WH-144-IBR,Can-Am,WH-144 IBR,,Direct,High
CANAM-WH-166-IBR,Can-Am,WH-166 IBR,,Direct,High
CANAM-WD-102,Can-Am,WD-102,,Direct,High
CANAM-WD-104,Can-Am,WD-104,,Direct,High
CANAM-WD-110,Can-Am,WD-110,,Direct,High
CANAM-WD-112,Can-Am,WD-112,,Direct,High
CANAM-WD-116,Can-Am,WD-116,,Direct,High
CANAM-WD-118,Can-Am,WD-118,,Direct,High
CANAM-WD-120,Can-Am,WD-120,,Direct,High
CANAM-WD-122,Can-Am,WD-122,,Direct,High
CANAM-WD-480,Can-Am,WD-480,,Direct,High
CANAM-WD-120XHD,Can-Am,WD-120XHD,,Direct,High
CANAM-WD-118XHD,Can-Am,WD-118XHD,,Direct,High
CANAM-WD-122XHD,Can-Am,WD-122XHD,,Direct,High
CANAM-WD-480XHD,Can-Am,WD-480XHD,,Direct,High
CANAM-WDRS118-SH,Can-Am,WDRS118-SH,,Direct,High
CANAM-WDRS118-XHDSH,Can-Am,WDRS118-XHDSH,,Direct,High
CANAM-WDRS120-SH,Can-Am,WDRS120-SH,,Direct,High
CANAM-WDRS120-XHDSH,Can-Am,WDRS120-XHDSH,,Direct,High
CANAM-WDRS122-SH,Can-Am,WDRS122-SH,,Direct,High
CANAM-WDRS122-XHDSH,Can-Am,WDRS122-XHDSH,,Direct,High
CANAM-WDRS480-SH,Can-Am,WDRS480-SH,,Direct,High
CANAM-WDRS480-XHDSH,Can-Am,WDRS480-XHDSH,,Direct,High
CANAM-WDRS118-WH,Can-Am,WDRS118-WH,,Direct,High
CANAM-WDRS118-XHDWH,Can-Am,WDRS118-XHDWH,,Direct,High
CANAM-WDRS120-WH,Can-Am,WDRS120-WH,,Direct,High
CANAM-WDRS120-XHDWH,Can-Am,WDRS120-XHDWH,,Direct,High
CANAM-WDRS122-WH,Can-Am,WDRS122-WH,,Direct,High
CANAM-WDRS122-XHDWH,Can-Am,WDRS122-XHDWH,,Direct,High
CANAM-WDRS480-WH,Can-Am,WDRS480-WH,,Direct,High
CANAM-WDRS480-XHDWH,Can-Am,WDRS480-XHDWH,,Direct,High
CANAM-H-78,Can-Am,H-78,,Direct,High
CANAM-H-82,Can-Am,H-82,,Direct,High
CANAM-C-55,Can-Am,C-55,,Direct,High
CANAM-C-77,Can-Am,C-77,,Direct,High
CANAM-C-188,Can-Am,C-188,,Direct,High
CANAM-C-131,Can-Am,C-131,,Direct,High
CANAM-C-102B,Can-Am,C-102B,,Direct,High
CANAM-SO-578,Can-Am,SO-578,,Direct,High
CANAM-MO-88,Can-Am,MO-88,,Direct,High
CANAM-LXS-882,Can-Am,LXS-882,,Direct,High
CANAM-MOH-578,Can-Am,MOH-578,,Direct,High
CANAM-MS-88,Can-Am,MS-88,,Direct,High
CANAM-81-X,Can-Am,81-X,,Direct,High
CANAM-81-XH,Can-Am,81-XH,,Direct,High
CANAM-81-XHS,Can-Am,81-XHS,,Direct,High
CANAM-SS-188,Can-Am,SS-188,,Direct,High
CANAM-SB2512,Can-Am,SB2512,,Direct,High
CANAM-SB3011,Can-Am,SB3011,,Direct,High
CANAM-SB1242,Can-Am,SB1242,,Direct,High
CANAM-SB1245,Can-Am,SB1245,,Direct,High
CANAM-SB1254,Can-Am,SB1254,,Direct,High
CANAM-US-3075,Can-Am,US-3075,,Direct,High
CANAM-US-4522,Can-Am,US-4522,,Direct,High
CANAM-SB850,Can-Am,SB850,,Direct,High
CANAM-856,Can-Am,856,,Direct,High
CANAM-857,Can-Am,857,,Direct,High
CANAM-859,Can-Am,859,,Direct,High
CANAM-662,Can-Am,662,,Direct,High
CANAM-667H,Can-Am,667H,,Direct,High
CANAM-667X,Can-Am,667X,,Direct,High
CANAM-667XC,Can-Am,667XC,,Direct,High
CANAM-667K,Can-Am,667K,,Direct,High
CANAM-667KC,Can-Am,667KC,,Direct,High
CANAM-667XH,Can-Am,667XH,,Direct,High
CANAM-88K,Can-Am,88K,,Direct,High
CANAM-3939,Can-Am,3939,,Direct,High
CANAM-3939-4,Can-Am,3939-4,,Direct,High
CANAM-3939-H,Can-Am,3939-H,,Direct,High
CANAM-CAM-900STR,Can-Am,CAM 900STR,,Direct,High
CANAM-CAM-900HSTRHVY,Can-Am,CAM 900HSTRHVY,,Direct,High
CANAM-X-348,Can-Am,X-348,,Direct,High
CANAM-X-458,Can-Am,X-458,,Direct,High
CANAM-X-658,Can-Am,X-658,,Direct,High
CANAM-X-678,Can-Am,X-678,,Direct,High
CANAM-9148,Can-Am,9148,,Direct,High
CANAM-102-HVY,Can-Am,102 HVY,,Direct,High
CANAM-142-STD,Can-Am,142 STD,,Direct,High
CANAM-142-HVY,Can-Am,142 HVY,,Direct,High
CANAM-260-STD,Can-Am,260 STD,,Direct,High
